EventID,ParticleName,IncidentEnergy_keV,TotalEdep_keV,MaxDepthSiC_um,TrackLength_mm,NumSteps,NumSecondaries,MeanEdepPerStep_keV,EdepStdDev_keV,ParticleStopped,FinalKineticEnergy_keV,EnergyEscapeFraction,BraggPeakDepth_um,BraggPeakIntensity_keV,SecondaryTypes
0,e-,100.000000,100.000000,39.582312,0.059643,15,0,6.666667,5.523109,true,0.000000,0.000000,39.429444,22.623508,
1,e-,100.000000,100.000000,18.040409,0.051975,13,0,7.692308,4.179800,true,0.000000,0.000000,17.352086,13.970856,
2,e-,100.000000,100.000000,15.031836,0.050251,12,0,8.333333,6.042963,true,-0.000000,-0.000000,15.031836,22.838768,
3,e-,100.000000,100.000000,10.742629,0.052686,18,0,5.555556,5.180549,true,-0.000000,-0.000000,10.714350,23.042650,
4,e-,100.000000,100.000000,36.222018,0.062515,15,0,6.666667,5.288926,true,-0.000000,-0.000000,36.222018,18.891580,
5,e-,100.000000,27.581900,5.359972,0.021717,10,0,2.758190,2.200136,false,72.418100,0.724181,3.648833,8.830378,
6,e-,100.000000,100.000000,45.435563,0.072940,17,0,5.882353,4.853446,true,-0.000000,-0.000000,45.435563,20.815409,
7,e-,100.000000,100.000000,17.343094,0.041285,11,0,9.090909,5.620875,true,-0.000000,-0.000000,1.712658,17.924234,
8,e-,100.000000,100.000000,21.154404,0.045592,11,0,9.090909,9.890104,true,-0.000000,-0.000000,18.423261,32.469200,
9,e-,100.000000,100.000000,24.185025,0.050799,13,0,7.692308,6.468704,true,0.000000,0.000000,20.385777,26.596893,
10,e-,100.000000,100.000000,23.462440,0.058446,14,0,7.142857,6.195117,true,-0.000000,-0.000000,23.462440,20.600753,
11,e-,100.000000,100.000000,27.680275,0.058913,14,0,7.142857,4.297883,true,0.000000,0.000000,26.216599,19.307655,
12,e-,100.000000,100.000000,32.328682,0.051182,13,0,7.692308,4.591777,true,0.000000,0.000000,32.237205,18.380912,
13,e-,100.000000,100.000000,45.634472,0.063143,15,0,6.666667,5.488770,true,0.000000,0.000000,43.521122,21.323584,
14,e-,100.000000,100.000000,32.746752,0.060504,14,0,7.142857,5.616913,true,0.000000,0.000000,23.322257,23.944748,
15,e-,100.000000,100.000000,24.484500,0.059990,14,0,7.142857,5.787464,true,-0.000000,-0.000000,24.484500,23.298240,
16,e-,100.000000,100.000000,9.470690,0.058338,15,0,6.666667,4.003975,true,0.000000,0.000000,7.705018,16.551397,
17,e-,100.000000,100.000000,20.996067,0.048956,12,0,8.333333,6.147702,true,0.000000,0.000000,20.996067,20.371078,
18,e-,100.000000,63.046734,9.015065,0.052879,19,0,3.318249,1.411944,false,36.953266,0.369533,2.966104,6.587632,
19,e-,100.000000,100.000000,18.844314,0.061537,14,0,7.142857,5.559408,true,0.000000,0.000000,16.117010,24.431393,
20,e-,100.000000,100.000000,34.250754,0.055889,14,0,7.142857,5.204744,true,0.000000,0.000000,34.250754,22.014576,
21,e-,100.000000,100.000000,23.405648,0.053108,13,0,7.692308,6.090493,true,0.000000,0.000000,21.486306,21.979104,
22,e-,100.000000,100.000000,20.817046,0.067436,16,0,6.250000,5.405357,true,0.000000,0.000000,19.752032,23.396802,
23,e-,100.000000,100.000000,36.697529,0.064147,15,0,6.666667,5.420713,true,0.000000,0.000000,33.340176,22.278891,
24,e-,100.000000,100.000000,28.911236,0.055697,13,0,7.692308,6.418235,true,0.000000,0.000000,25.245795,27.037731,
25,e-,100.000000,100.000000,30.504768,0.056476,14,0,7.142857,4.408958,true,-0.000000,-0.000000,23.547868,18.234699,
26,e-,100.000000,100.000000,27.342434,0.061377,15,0,6.666667,4.908896,true,0.000000,0.000000,27.342434,20.077954,
27,e-,100.000000,100.000000,23.909919,0.059990,14,0,7.142857,5.394151,true,0.000000,0.000000,10.612691,20.918750,
28,e-,100.000000,100.000000,13.760861,0.046265,15,0,6.666667,5.947758,true,-0.000000,-0.000000,6.613920,24.927395,
29,e-,100.000000,100.000000,29.779220,0.055699,14,0,7.142857,4.962849,true,0.000000,0.000000,29.779220,16.656851,
30,e-,100.000000,100.000000,25.409989,0.061398,15,0,6.666667,6.114560,true,-0.000000,-0.000000,25.402542,23.426967,
31,e-,100.000000,100.000000,15.649676,0.058420,14,0,7.142857,5.608823,true,0.000000,0.000000,15.074051,20.763715,
32,e-,100.000000,13.241571,6.547380,0.014214,6,0,2.206929,0.954862,false,86.758429,0.867584,3.184725,3.977596,
33,e-,100.000000,100.000000,25.005748,0.042536,11,0,9.090909,6.040077,true,0.000000,0.000000,25.005748,17.913439,
34,e-,100.000000,100.000000,16.038556,0.053187,17,0,5.882353,4.198829,true,-0.000000,-0.000000,2.431158,16.211255,
35,e-,100.000000,100.000000,20.937057,0.055585,13,0,7.692308,5.622467,true,0.000000,0.000000,15.817021,24.986261,
36,e-,100.000000,100.000000,36.485803,0.071053,17,0,5.882353,3.886808,true,-0.000000,-0.000000,36.485803,14.063916,
37,e-,100.000000,100.000000,18.530179,0.058089,17,0,5.882353,2.693911,true,0.000000,0.000000,7.233329,9.149087,
38,e-,100.000000,100.000000,12.070216,0.040486,11,0,9.090909,9.507686,true,0.000000,0.000000,12.070216,35.623361,
39,e-,100.000000,100.000000,22.417110,0.058047,14,0,7.142857,4.024766,true,-0.000000,-0.000000,22.039327,15.247174,
40,e-,100.000000,100.000000,27.591246,0.046678,12,0,8.333333,6.491843,true,0.000000,0.000000,25.779727,25.372248,
41,e-,100.000000,100.000000,23.366603,0.063321,16,0,6.250000,4.283791,true,0.000000,0.000000,23.366603,16.833809,
42,e-,100.000000,100.000000,33.099637,0.057153,14,0,7.142857,4.068923,true,-0.000000,-0.000000,30.866073,15.440979,
43,e-,100.000000,100.000000,17.994377,0.055027,13,0,7.692308,6.103224,true,0.000000,0.000000,16.446268,22.746025,
44,e-,100.000000,100.000000,15.237309,0.065807,17,0,5.882353,3.057379,true,0.000000,0.000000,0.938595,11.212287,
45,e-,100.000000,100.000000,14.750516,0.027673,8,0,12.500000,9.100258,true,0.000000,0.000000,4.188624,31.157668,
46,e-,100.000000,100.000000,23.816981,0.039195,10,0,10.000000,6.858261,true,0.000000,0.000000,20.248871,21.897337,
