z_left_um,z_right_um,z_center_um,bin_width_um,Count,Edep_sum_keV,LET_keV_per_um,LET_pC_per_um,LateralSpread_um
0.0,4.0,2.0,4.0,21048,62745.243738,1.5686310934499998,6.9811780146985e-05,0.1
4.0,8.0,6.0,4.0,24310,95466.006162,2.3866501540500002,0.00010621764195420585,0.1
8.0,12.0,10.0,4.0,17715,113982.090973,2.849552274325,0.00012681905753569647,0.1
12.0,16.0,14.0,4.0,16941,131126.134,3.2781533499999997,0.00014589390833441175,0.1
16.0,20.0,18.0,4.0,15642,133257.250457,3.3314312614249997,0.00014826503680089666,0.1
20.0,24.0,22.0,4.0,13264,123332.815799,3.083320394975,0.00013722288588790543,0.1
24.0,28.0,26.0,4.0,10622,105684.710049,2.642117751225,0.00011758720348025887,0.1
28.0,32.0,30.0,4.0,7597,81998.301741,2.049957543525,9.12331688035498e-05,0.1
32.0,36.0,34.0,4.0,4428,51140.021085,1.278500527125,5.6899546419898835e-05,0.1
36.0,40.0,38.0,4.0,2259,28012.551438,0.7003137859499999,3.116739956436576e-05,0.1
