cathode TotalCurrent(SSE_n44_des) X,cathode TotalCurrent(SSE_n44_des) Y,cathode TotalCurrent(SSE_n45_des) X,cathode TotalCurrent(SSE_n45_des) Y,cathode TotalCurrent(SSE_n47_des) X,cathode TotalCurrent(SSE_n47_des) Y,cathode TotalCurrent(SSE_n48_des) X,cathode TotalCurrent(SSE_n48_des) Y
1e-20,1.3271735e-06,1e-20,1.3263149e-06,1e-20,1.3291932e-06,1e-20,1.3263885e-06
2.3e-20,2.4875894e-08,2.3e-20,2.306602e-08,2.3e-20,2.4993e-08,2.3e-20,2.4090831e-08
3.99e-20,2.6540628e-08,3.99e-20,3.0200595e-08,3.99e-20,2.6895553e-08,3.99e-20,2.9085033e-08
6.187e-20,2.4043527e-08,6.187e-20,2.4255116e-08,6.187e-20,2.5468638e-08,6.187e-20,2.5279927e-08
9.0431e-20,2.3092251e-08,9.0431e-20,2.3660568e-08,9.0431e-20,2.4160633e-08,9.0431e-20,2.2069369e-08
1.275603e-19,2.4162437e-08,1.275603e-19,2.4136207e-08,1.275603e-19,2.3684995e-08,1.275603e-19,2.3971922e-08
1.7582839e-19,2.4162437e-08,1.7582839e-19,2.5028029e-08,1.7582839e-19,2.4279543e-08,1.7582839e-19,2.5339382e-08
2.3857691e-19,2.344898e-08,2.3857691e-19,2.3601114e-08,2.3857691e-19,2.3566086e-08,2.3857691e-19,2.3139555e-08
3.2014998e-19,2.3389525e-08,3.2014998e-19,2.3838933e-08,3.2014998e-19,2.3566086e-08,3.2014998e-19,2.319901e-08
4.2619497e-19,2.3032796e-08,4.2619497e-19,2.318493e-08,4.2619497e-19,2.3120175e-08,4.2619497e-19,2.3317919e-08
5.6405346e-19,2.3240888e-08,5.6405346e-19,2.342275e-08,5.6405346e-19,2.3714723e-08,5.6405346e-19,2.3288192e-08
7.432695e-19,2.236393e-08,7.432695e-19,2.23377e-08,7.432695e-19,2.2317536e-08,7.432695e-19,2.2307188e-08
9.7625036e-19,2.2720659e-08,9.7625036e-19,2.285793e-08,9.7625036e-19,2.2659401e-08,9.7625036e-19,2.2262598e-08
1.2791255e-18,2.2854433e-08,1.2791255e-18,2.2917385e-08,1.2791255e-18,2.2912084e-08,1.2791255e-18,2.3065238e-08
1.6728631e-18,2.2430818e-08,1.6728631e-18,2.2382292e-08,1.6728631e-18,2.236956e-08,1.6728631e-18,2.2455827e-08
2.184722e-18,2.2928752e-08,2.184722e-18,2.3043727e-08,2.184722e-18,2.2867494e-08,2.184722e-18,2.2894306e-08
2.8501386e-18,2.2423387e-08,2.8501386e-18,2.2545794e-08,2.8501386e-18,2.2451311e-08,2.8501386e-18,2.2500419e-08
3.7151802e-18,2.2546013e-08,3.7151802e-18,2.2679568e-08,3.7151802e-18,2.2622245e-08,3.7151802e-18,2.2623046e-08
4.8397343e-18,2.2664923e-08,4.8397343e-18,2.2713013e-08,4.8397343e-18,2.2696565e-08,4.8397343e-18,2.2756821e-08
6.3016546e-18,2.2508856e-08,6.3016546e-18,2.2529076e-08,6.3016546e-18,2.2499622e-08,6.3016546e-18,2.2517145e-08
8.202151e-18,2.2583176e-08,8.202151e-18,2.2605255e-08,8.202151e-18,2.2573943e-08,8.202151e-18,2.2539443e-08
1.0672796e-17,2.258132e-08,1.0672796e-17,2.2595968e-08,1.0672796e-17,2.2596241e-08,1.0672796e-17,2.2589611e-08
1.3884635e-17,2.254695e-08,1.3884635e-17,2.2544877e-08,1.3884635e-17,2.2547938e-08,1.3884635e-17,2.254874e-08
1.8060026e-17,2.2510724e-08,1.8060026e-17,2.2495645e-08,1.8060026e-17,2.2497778e-08,1.8060026e-17,2.2506941e-08
2.3488033e-17,2.2445235e-08,2.3488033e-17,2.2438519e-08,2.3488033e-17,2.2452728e-08,2.3488033e-17,2.24461e-08
3.0544443e-17,2.2387179e-08,3.0544443e-17,2.2384181e-08,3.0544443e-17,2.2392352e-08,3.0544443e-17,2.2388977e-08
3.9717776e-17,2.2289179e-08,3.9717776e-17,2.2289435e-08,3.9717776e-17,2.2287852e-08,3.9717776e-17,2.2285871e-08
5.1643109e-17,2.2163545e-08,5.1643109e-17,2.216659e-08,5.1643109e-17,2.2162686e-08,5.1643109e-17,2.216419e-08
